PL_score1,PL_score2,PL_score3,PL_score4,PL_score5,PL_score6,PL_score7,PL_score8
1,109.5398295,266.8273729,122.1017216,48.92315709,48.92081735,133.2312,142.0255386
2,48.9244859,48.92383068,48.92350682,48.92315709,48.9858183,48.93011414,48.96984466
3,49.07401313,48.92625497,48.91906841,48.92315709,49.11296492,48.92364073,48.92581436
4,253.9714719,142.7389047,158.940117,48.92315709,147.6279587,307.6872084,1403.252351
5,49.09454321,48.99983975,50.64299335,48.92315709,48.92357239,48.92288894,49.40065523
6,122.456791,48.88506969,48.92902796,48.92315709,138.0551368,132.8461518,258.535582
7,48.74631019,48.91832787,48.60717036,48.92315709,125.7819583,140.7659957,250.0285522
8,49.77724394,70.64078144,59.37609104,48.92315709,113.9096204,1446.153554,169.5970164
9,1410.464817,295.1696042,49.64161602,48.92315709,280.5690515,1403.958316,322.8608688
10,76.71610014,70.30812141,63.8507578,48.92315709,48.92315709,48.92315709,48.92315709
11,61.51577625,69.30850892,54.69650347,48.92315709,50.71654888,72.09947806,49.54474089
12,120.282656,137.2018156,129.3781361,48.92315709,49.0130538,49.02638661,48.98785302
13,49.15010216,48.91913118,48.92644664,48.92315709,1351.096907,235.683527,158.0706162
14,48.92313006,48.91922901,48.95519217,48.92315709,131.0995841,142.6342604,95.34076174
15,48.92458919,48.91965823,48.92549594,48.92315709,48.92741394,50.16752732,48.92520226
16,285.3213537,243.1060783,48.73501313,48.92315709,52.02930701,53.3123553,54.25508611
17,48.71985539,48.89831734,48.92070077,48.92315709,50.13327745,56.4369724,62.48826099
18,52.28331507,55.37668561,66.19546896,48.92315709,111.3798358,135.0197821,1353.509555
19,123.2999626,116.8070129,134.1262351,48.92315709,55.220581,53.88951904,58.98572436
20,48.90899546,48.90045566,63.24861182,48.92315709,48.87552595,48.91323894,48.89080924
21,57.59373092,54.78154018,48.80452509,48.92315709,126.3548304,198.947053,130.8135085
22,53.36865993,165.5949339,53.07434698,48.92315709,53.83981785,49.47979541,54.01451842
23,55.70160603,49.53005826,49.12632694,48.92315709,360.2812722,116.6762273,48.57406449
24,162.8729827,112.5586756,57.38821533,48.92315709,49.12951737,48.75150557,56.05363071
25,61.30333907,49.91474823,55.07553109,48.92315709,48.9223518,48.92359654,48.91531021
26,202.6598185,48.91643142,48.92097899,48.92315709,48.91748038,48.9228578,48.81021531
27,48.94455609,48.90788077,48.92315709,48.92315709,48.9099545,48.94280413,48.92128571
28,107.9207939,106.4357816,49.18631124,48.92315709,48.9286834,48.88958272,48.92392175
29,48.98469155,48.90534086,48.92975057,48.92315709,48.92391814,48.91880018,48.92380901
30,126.0769996,126.7184411,94.97890049,48.92315709,68.63535816,136.8695915,116.9796527
31,49.0197468,48.93171332,48.98929031,48.92315709,48.86036402,1620.778882,135.5916202
32,48.92554183,48.92349938,48.92503525,48.92315709,48.9215635,52.59984253,63.41322801
33,137.0418534,81.18534984,50.71525002,48.92315709,48.91852173,48.88190533,54.20462306
34,1707.812985,259.9116118,74.46457233,48.92315709,49.55062008,93.58815415,78.18817653
35,75.64789134,65.94334488,52.63245202,48.92315709,67.69030477,55.07325254,57.14144586
36,48.9225168,48.92690399,48.92730842,48.92315709,48.93045137,49.19113117,50.00192428
37,48.92446216,48.92476029,48.92036666,48.92315709,48.92106064,48.92153241,48.41049394
38,72.73330739,50.60752159,60.10238395,48.92315709,139.4193601,179.535143,138.9581201
39,48.92219789,48.92344325,48.922729,48.92315709,48.92522323,48.92218878,48.92673824
40,48.95104503,48.92947145,48.92420417,48.92315709,48.92399518,48.92648846,48.9229174
41,48.92470351,48.92882057,48.92397853,48.92315709,48.98508479,51.51387127,64.1159976
42,61.10679094,53.5293848,48.69542493,48.92315709,48.63380157,48.85358177,54.27277142
43,103.264211,55.16590724,61.01472325,48.92315709,48.85052051,48.8705077,48.92390914
44,48.92508095,48.92551671,48.92808268,48.92315709,48.93501217,48.91351637,49.48407413
45,73.25233378,48.44298075,48.68023387,48.92315709,48.94622267,59.05883877,55.10239273
46,49.38078038,48.92316163,48.95152598,48.92315709,48.92278856,48.92670521,48.92441762
47,108.8830284,54.97863764,48.92315709,48.92315709,48.83384344,54.86184465,48.90799649
48,68.93715385,62.5322557,48.91684644,48.92315709,123.4231552,144.5694907,69.8374165
49,57.87952313,48.91995701,48.91815819,48.92315709,48.88751591,49.03115247,48.88498575
50,60.33866916,52.24435231,59.26570754,48.92315709,48.82780677,190.3688498,112.7735732
51,1462.424931,70.75494899,1433.312893,48.92315709,48.86545965,48.91862479,49.05458836
52,115.0688602,1398.294758,53.92944154,48.92315709,115.7252246,118.3840379,1424.450541
53,123.4660124,85.73838705,48.91805657,48.92315709,51.16479337,172.184244,315.7219685
54,277.4797564,270.4344113,59.45000397,48.92315709,101.7650377,55.45702713,126.7914698
55,98.35508387,266.5402426,200.0708329,48.92315709,48.92390903,62.6078409,58.39503521
56,151.5068358,82.74405189,171.2895856,48.92315709,56.73356158,132.3367979,64.93842268
57,91.60582288,53.0638977,1376.353249,48.92315709,48.84091003,49.5848335,48.93771677
58,48.92149271,48.92355178,48.92799981,48.92315709,49.30280578,63.9059146,108.8932681
59,49.46547366,63.70398005,66.30567544,48.92315709,49.84105686,143.176995,52.35036549
60,48.92712984,48.92586363,48.92323726,48.92315709,48.93546344,48.91999333,53.41847262
61,48.92439985,48.9273776,48.92457575,48.92315709,48.92343874,48.9256655,48.92627319
62,48.92544497,48.92515423,48.92384699,48.92315709,48.92457861,48.92686926,48.9265543
63,48.92503418,48.92403737,48.92422128,48.92315709,48.92574946,48.92514977,48.92267675
64,48.91822057,48.91110882,48.9232758,48.92315709,48.92408714,48.92471511,48.92375197
65,48.9251897,48.92392545,48.92457507,48.92315709,48.92213971,48.92381181,48.93290611
66,48.92308135,48.93477183,48.9317219,48.92315709,48.92152658,48.92477983,48.92329642
67,48.92274137,48.92246527,48.92273507,48.92315709,49.04350592,48.92381222,48.92034363
68,58.90184516,52.03001537,61.27907893,48.92315709,48.92249198,66.91909654,57.73484801
69,48.92823139,48.92395635,48.92661938,48.92315709,48.92108016,48.92174209,51.40715528
70,48.92087956,48.92349861,48.92683723,48.92315709,48.98180334,50.55429313,69.78127853
71,56.58265496,53.91761557,60.51691093,48.92315709,52.01049642,66.12743373,51.51766223
72,48.92355677,48.92638922,48.9243416,48.92315709,48.92369096,48.9246087,53.00710909
73,55.9078128,49.80803095,48.92418029,48.92315709,48.92422556,48.92439407,48.92527418
74,50.07710501,48.90479295,49.08168422,48.92315709,67.51631068,141.0797631,123.6302515
75,74.43351002,69.52838393,48.92315709,48.92315709,53.60689727,50.12159566,50.94492495
76,159.8863433,95.97179749,204.5381547,48.92315709,61.17024605,58.54821827,61.70672703
77,48.9123731,48.92276113,49.07124521,48.92315709,52.77930894,49.69670605,53.96002632
78,53.25791909,48.94569346,48.93102391,48.92315709,48.92463929,48.92728868,48.92658891
79,73.73092791,69.67140694,48.79299579,48.92315709,64.72263137,74.28207104,48.90778656
80,172.7357093,90.61906491,1410.914969,48.92315709,56.17149688,54.94393134,50.81320314
81,48.88972059,49.41486286,70.02013649,48.92315709,50.38006341,48.86006397,48.9785565
82,48.92315709,48.92795764,48.92315709,48.92315709,53.89492525,53.31123421,75.60715087
83,117.5068405,159.4122034,84.87438378,48.92315709,94.79538461,122.0915273,133.0034748
84,91.65176761,49.30140064,67.84459137,48.92315709,50.28866409,73.47388236,192.3729255
85,69.81895242,59.44999411,70.45404235,48.92315709,273.7691533,116.2260308,134.7679549
86,57.00652657,48.86813428,49.63759101,48.92315709,48.93028145,48.90467645,51.21249878
87,48.92491106,48.92207218,48.92280237,48.92315709,48.92255554,48.86486465,52.15692209
88,48.92598331,48.92397288,48.92571502,48.92315709,48.9264826,48.91664235,66.42554723
89,70.1930064,48.91976933,48.96697158,48.92315709,48.65015713,48.89225997,48.92157712
90,48.96213995,48.92473992,48.77601644,48.92315709,58.74606612,65.03463018,66.63309396
91,48.92703691,48.92553809,48.92306859,48.92315709,48.9241275,48.92197477,48.92576234
92,48.92133892,48.92202558,48.92286872,48.92315709,48.92627333,48.92363205,48.92086697
93,50.67857397,51.41426545,50.49019996,48.92315709,51.67577375,51.71084777,51.71084777
94,60.60872378,49.42291283,59.64956258,48.92315709,49.56321299,49.58001172,49.57932016
95,48.91382553,48.92909269,48.98408916,48.92315709,48.9673288,51.17208255,48.99311117
96,48.92091197,48.92361325,48.92290772,48.92315709,51.28005266,60.94046185,63.52503126
97,68.48099858,51.8746962,63.07487324,48.92315709,57.43626996,51.96972497,50.05086953
98,48.92251743,48.90700549,49.15733606,48.92315709,49.00152509,50.80034822,58.68619566
99,48.92308837,48.92685602,48.92734813,48.92315709,48.92611928,48.92310172,48.92095022
100,48.92315708,48.92315708,48.92315708,48.92315709,48.92315676,48.92320492,48.99936001
101,48.92315728,48.92315728,48.92315728,48.92315709,48.9231465,48.92213761,49.33923667
102,48.87441601,48.74997787,48.92222998,48.92315709,48.93849795,48.91974265,48.93083643
104,111.716832,155.6745348,53.68250899,48.92315709,48.92716401,48.92551857,48.92752817
105,48.92355834,71.26597669,48.92048916,48.92315709,49.29055876,48.91194535,54.88168286
106,1457.223645,142.1005956,125.168757,48.92315709,147.6759397,57.23043774,169.1105348
