Row,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100
FGFR4i,2.53787257257954,1.11388345017874,8.14828573364544,30.0824353720071,1.54986022360132,1.17319781755559,5.93814757824233,3.43390542123964,1.1516045802202,34.8117207964943,1.61970259888638,1.04388057344769,1.62669434663202,2.22042867540525,0.990938579406035,74.9358409173773,0.820526848500762,1.04773059497956,2.37732102091539,7.01659398321621,1.63039504113556,1.08682799138286,2.22914741687449,3.81980271228047,1.07347960230939,1.52589641818073,1.23206276539525,1.13885822133119,63.1258013944329,1.6964340860122,17.6989542223901,3.55920497430115,0.9726107615731,1.22385981152854,1.0301543389472,1.21194001453666,1.84805345670026,6.06116716292472,100.194465442595,10.7628693485343,2.29904123042327,2.51390921397292,13.667600722183,0.814306805594708,1.72961405400594,0.781490975898584,4.8013330525194,1.32814901033142,1.70030795753304,2.06062125651898,2.3580752443464,1.77092189960759,1.19239415240295,17.1835273037226,1.68464288195539,0.693713782925062,3.05027239373459,5.26332954990953,4.06708852789103,2.95789495911636,2.8911652755583,6.38952320250935,2.88403780959689,2.84798688518445,4.03210226939624,6.92982558858196,1.03472999929974,3.8930780009533,0.966964355723543,7.23488823567571,3.03072176785065,6.2525437966009,1.3160048216874,1.53679188610539,3.24498366102536,69.7926043443495,1.22068895132083,1.87933156842449,2.71237067527838,1.18349205439599,1.8280519656527,11.8472391568208,2.31946994774954,2.80166838139466,2.91551566279149,2.7938730833555,10.9783007627457,1.68011677455413,1.15458112444905,1.72296478762489,3.68247833302832,1.143960935315,12.6286098798341,2.9163456796939,2.94488256926303,2.53088928670415,2.90582317317339,12.3204520689405,2.34899768445459,1.16652018028453
ERBBi,2.8009481105062,1.49034097433114,3.77541938556213,2.16340714712408,1.86060935311434,1.18569901522597,2.67378329980099,1.06342470642008,2.44802463935348,3.20536684462007,2.72346716180846,1.74244333797918,1.09068504743266,0.940433278109457,1.2989783581068,1.951521311,1.47396637796221,1.26260905111172,1.21187901300386,1.64455685320929,1.95853382328983,1.29925304072819,1.61995064567292,0.855288627333774,2.27427645737791,1.16203932802348,1.49864724106939,1.10102393469569,1.56562742925856,1.72519495178597,1.94913472568816,1.88450225963054,1.14694427997361,1.08646044959161,1.08085834664822,0.79976826659158,1.02752010641687,1.73762133703109,1.36969745194775,2.58276883567403,1.22232329486616,2.3979468957162,1.59275533136572,0.809131021160401,2.39982765082771,1.03765494446819,2.414958597444,1.19629872280089,1.18218507834943,1.60962233470662,1.68590058821904,1.70900087570558,3.79001584486702,0.583061562969048,1.75623646647978,1.00393374365468,1.15963617236924,1.28697190201175,1.18403611557806,1.13508257919945,1.87365915176946,1.53862269222411,0.8063990857642,2.25758516862928,1.30519324182025,2.44738996503136,0.875010117133843,1.54431192247685,1.63036160855467,1.53952244957633,1.01948134477872,1.0239826345136,1.72165268873543,1.32992059625257,1.07308509272197,3.055539555864,1.64798573273786,0.902955294575272,0.997549860706111,1.17438673557926,1.52031076555008,1.1198108456717,1.59784044778568,1.12705466699839,1.18512182730373,1.1374241618787,1.04283721177987,1.17258512283816,1.18007924060629,1.03030640309904,1.10779500710334,1.81572352063864,1.05895539591146,1.12540748122281,1.22971062888106,1.10876958632945,1.49137686131265,1.11627396772154,3.14384942826004,1.14424965803274
Akti,0.827812667508171,0.828522558988616,0.68047269666683,1.70371637427047,0.375630243701421,0.937778526070107,1.03694435270848,1.15344751280982,0.519998288685975,0.508126225081828,1.12592783357467,0.0661399356755401,0.793948726404037,0.748829980639999,0.452969861535459,0.318062143900705,0.495781733273005,0.555835638703418,0.685574296021857,0.325416760793102,0.770745069492801,0.993868783022407,0.418642504066866,0.762219259999913,0.0689949457999392,0.664198683836683,0.734021259238725,0.765788093185357,0.662169728428431,0.429142680375179,1.01862621487652,0.981849995839485,0.841728740130773,0.929822755113188,0.849395535288239,0.533677887422102,0.806813529837449,0.369763954997561,0.62014699473048,1.86641559902514,0.513753810644755,0.694828280351549,0.407427564711942,0.364572758349204,1.84037841909663,0.468948443916452,1.59560836634221,0.593477033526361,0.81152371295316,0.347091579160124,0.44480510660294,0.888156949568903,1.1222861786217,0.580410257225677,1.01579167679731,0.336255612029242,1.03784060143296,0.88970919464137,0.993793194824308,0.0581726734394264,0.925480167954308,1.02383173018728,0.608374464393964,1.0215152383887,0.5474631057755,1.10052599072159,0.62431961589377,0.979885620786705,0.868122786114919,1.02780490759613,0.991883748103958,0.860098371334471,0.960737860832754,0.824311811107873,0.87073624328836,0.65985911193327,0.926055766683801,0.899569257577355,0.780155640916327,0.630485878100274,1.01635232590095,1.05107352352452,0.327186697095395,0.431927902913904,0.305295704434736,0.448915551079047,0.542819022142736,0.548531972407877,0.755609555765747,0.327254061847302,0.949592027813995,0.858365870157458,1.09254218847209,0.441852163590419,0.968202388542426,0.243379529068091,0.842337533816459,1.10392074957933,2.05691109785374,0.0552870969132748
PDK1i,0.834519825459175,0.828498619448968,0.679894332986366,0.875739268571223,0.394343482277724,0.936637356238711,0.888082312309005,0.901410697177371,0.524254608712623,0.510448782219722,0.889950492129511,0.0664938438480159,0.794453634593741,0.737654221495732,0.453115171538541,0.308563141151453,0.480685707205772,0.555826743916399,0.685561469991091,0.316104414948849,0.776296304892772,0.993837852449248,0.401606523440271,0.762148060975621,0.0718459008226698,0.657973817776793,0.731393224899711,0.765330413218877,0.662165191600677,0.42971763741905,1.0199739097738,0.982312225708573,0.842259965734128,0.984436769964844,0.850784506530899,0.533653675763639,0.778790854138872,0.367564791177811,0.724680270264644,0.900802655435421,0.513761601657133,0.594143896500308,0.397229718891187,0.36241740377181,0.879971695417966,0.465993138354711,0.885050934954536,0.591056419877573,0.8114928889555,0.348129254912691,0.445707020093789,0.889850196555162,1.21954145692349,0.580301071720441,0.922974961466205,0.326468283268585,1.0167453445879,0.893557824854808,0.999359379024302,0.0536081974705657,0.92546599613669,1.01456571722803,0.608264442016824,1.0215559501067,0.464390839970877,0.806332694804542,0.624162456514172,0.979640115532215,0.650237223941152,1.05758013121858,0.979057869386861,0.860089452438968,0.960772784683919,0.825040318750096,0.719086130948758,0.519578777710297,0.926013205239352,0.899351678921414,0.776460141214143,0.543986652719867,1.01533943250974,0.833927797980796,0.323960939275952,0.432245779460734,0.302669558116636,0.44684241364391,0.541543941913956,0.552709385224606,0.680509564156527,0.327389598900535,0.781156339746544,0.862262269308312,0.904580861155964,0.442192982123091,0.771993421602653,0.241899833902957,0.629302277652872,0.896572865507257,0.976229163904273,0.0552206843260137
IGFRi,1.03651578752805,1.00365371355842,1.03283482717209,1.02372705331526,1.01795436359702,1.06894181052758,1.02223808531897,1.01764789670112,1.01795120603304,1.02005000691207,1.03194941585097,1.02414481815361,1.0054308068497,1.0690549731556,1.02262314399359,1.02326885284573,1.44203451537353,1.01182091770297,1.02497093359124,1.02614905056383,1.01787543543907,1.02376062623387,1.01541899918913,1.00322963502894,1.01851407714862,1.02302499367562,0.921274131804167,1.03090579806621,1.0059172981761,1.01803603614502,1.02224997966567,1.03435355469654,1.03902734812854,1.01884860848087,1.0058982058711,1.01858122957877,1.03066410680635,1.02147780084333,1.01738338916555,1.02707845559529,0.988841087698772,1.03034315008677,1.019015888204,1.00369231683286,1.01775072173213,0.946507028540244,1.01781075412251,1.00229540177298,0.990700678188556,1.04121837234393,1.02362619372868,0.983010934087478,1.0589508674599,1.03390003698924,0.962053507827045,1.01722283718795,1.0185613689997,1.01859499646112,1.01776997000851,1.00539034571212,1.01218565787047,1.05094876303238,1.06367619397772,1.03437449737827,1.05214841580707,1.07944682611677,0.897260292961978,1.01780054588688,1.06511126485646,1.05332421312972,1.01150721816016,0.954869001257932,0.994643298563703,1.01145188726511,1.02201223789535,1.05497584654371,1.0315985273649,1.01968523261243,1.02400986058106,1.05131547105512,1.01801063467237,1.0226479198468,1.01900603456504,1.06377674023544,1.01976420736187,1.05677833824457,1.03143944475257,1.01826541093828,1.04336068206097,1.02731474146927,1.02881605435663,1.0613106829205,1.01864008803654,1.06366273944084,1.02855121762143,1.01872452460396,1.02022877927969,1.01692392175477,1.03289485881081,1.01253703171969
IRSi,1.02504329059927,1.28077324383512,1.03740300459879,1.02502537421665,1.02315131892283,1.17712735030678,1.02684193883562,1.05412471318634,1.01803538862761,1.0229424788655,1.03401030807691,1.08879650442018,1.04216034761091,1.07128597745061,1.04929611058495,1.11884240957899,1.45996889163023,1.03523091949745,1.03252058070206,1.09102863184743,1.0224219321121,1.04629614336821,1.06624803580302,1.03490874793269,1.06229340787038,1.09233153829606,0.965058244807792,1.04598377224536,1.03567525114396,1.064614217912,1.01957695904716,1.02629291016903,1.12863409063126,1.01785794846072,1.02460858994168,1.01786499379664,1.03442206319878,1.06110657384925,1.01991363127085,1.02376097530471,1.01577141982426,1.05355534814698,1.06495858753798,1.02873652039026,1.02551749930746,0.981747060643971,1.02331615747305,1.03730297028764,1.00320784428686,1.06381082747947,1.06274743447738,1.00203513061997,1.02105592249481,1.02575048157328,1.35211063779238,1.02259598724967,1.02341509261753,1.03517836891493,1.02338852291111,1.03262662120901,1.01362251673671,1.1160624375143,1.13285279013679,1.03664754297196,1.08606371617864,1.04114000435173,0.9520608437531,1.02247406526939,1.22086229011136,1.02379116346367,1.02223165556042,1.02331627593637,0.995770077028051,1.05192720515512,1.02831899771328,1.0445421297088,1.17579762175681,1.02482130979121,1.0225461596676,1.39867546633336,1.02236142210627,1.03406289629839,1.04054187110867,1.02859737360933,1.06856023946669,1.07975033577764,1.16431389576584,1.03405702626951,1.50164954635363,1.02777966133941,1.02118175430281,1.0533086927249,1.02831729736387,1.02394292189349,1.33933625818424,1.03238187314531,1.0235326022201,1.02749915434388,1.03280821810437,1.27147838861555
Cbli,1.01744453902031,0.980796061953073,1.01744587985669,1.03568760840284,1.16075611438737,NaN,1.03872110968976,3.07821196777482,1.0174451850564,1.05433154888862,1.05035458468263,1.03556069791693,1.38551177313779,1.34204767874073,1.04999431593831,1.04299887439428,0.777075438390747,NaN,1.02620518173409,1.09571233060319,1.14020813325668,1.00484198815324,1268147.04147116,1.24032058369874,508.171383361818,1.20877939785492,0.939135779894851,526783.736666232,1.02374434738304,16189.4106481567,1.08904936510005,1.9020346741589,0.94157673419908,271688.880339141,1557377.03763704,0.950374081821798,1.26723243195597,1.01744585505986,1.01787570069781,1.04363219862684,1366301.29974152,0.977923027371223,1.04106311264357,0.621364860636232,1.16323019777161,0.674050087157546,1.07679461696807,0.781556636610045,1.01676682643269,1.01743820618985,1.01744410463695,0.981448520229965,1.01744632846727,1.35293947350278,0.97580485247384,0.665583146005694,1.04959703224492,1.08027692386949,1.01844390363608,1.40642414291477,1.01737890801318,1.5852034150971,2.94393588272884,1.01744733629887,1.22378347531559,1.11122869456948,1.11100842983013,1.61474507569045,1.81521910840736,1.70972651556604,2.91262096760335,1.71356496052712,0.971811927326992,23353.5963369982,1.74509470775387,1.02454429592187,4.2218988142332,39413.1414623305,1.11201441478668,0.958840515827027,85.244512363261,1.22612050844258,1.06044808521789,1.23477478989689,1.17035793144714,1.25048632923135,1.11253971417864,1.6765247790635,0.870270291056339,2.05842388662337,2.31533933353094,1.27448894521505,1.16559188621005,1.25638983923407,1.30880084415954,1.40320101287347,1.1997658733892,1.15257598963179,0.966276751545099,1.09529883414826
Sosi,1.01768922193898,1.01757214572336,1.01745093558877,1.01744688919187,1.09251249228152,1.01867974231897,1.01848986376817,1.01744778221996,1.01744597513494,1.01744645073163,1.01753621557479,1.01751725136072,1.01744590097901,1.49574634135174,1.01753713280372,1.01745429851272,1.01744759408335,1.0174827432499,1.01747176158179,1.01777544021801,1.02704234693303,1.01804432378689,1.01744591075888,1.20961565689037,1.01744645906073,1.01744644407113,1.01746445999586,1.01744854309207,1.01757802588678,1.01754419871272,1.017446192709,1.01793870408781,1.02210064265591,1.69354487077731,1.01835035370807,1.01746244284072,1.9674599674696,1.01744599297718,1.01744781293661,8.88384649388492,1.02335044044901,1.01744611282919,1.22990778409255,1.01744818090549,1.0174931887695,1.01744366811925,1.01744638196694,1.01745068195491,1.01744597572835,1.01744881167196,1.01744609149447,1.0174482785624,1.01744588722685,1.01748126775404,1.01744634225994,1.0174461299736,1.01747266830809,1.02186045968833,1.01744589462248,1.01744569222652,2.15335925172896,1.0315455928142,1.01744630641404,1.01744771819776,1.01746541417742,1.01744592845006,2.89110198577474,1.01766912360519,1.01949308322585,1.01755075111265,1.01767230481253,1.0174458696418,1.01744791378853,1.0231515689307,1.01764402407376,1.01744620513863,1.01744602039727,4.44698132000506,1.0222104145919,1.01744586262621,1.01948581012674,1.01744714249105,1.01744629585597,1.02025937297219,1.01744586050203,1.01746222032639,1.01744680336809,1.01744665938518,1.01744566539577,1.01745084139097,1.01746248548207,1.02423288337664,1.01745150712593,1.01992683783184,1.01744591229401,1.01747270378964,1.01746184875358,1.01748742775544,1.01762640122096,1.01744590946229
PI3Ki,0.348354121754756,0.578604614384868,0.272838113708968,0.23450286599067,0.0471797584107534,0.537089440194617,0.299357476128555,0.437053598582252,0.318639969407384,0.228884884579724,0.0623488359022858,0.0438357556438519,0.476261346103464,0.76830035709413,0.242545760452567,0.0599947483669196,0.321798768865794,0.339679628183899,0.600726999710482,0.0591595617120924,0.236967718242987,0.993859159269365,0.0979257772147565,0.769294199644327,0.0408655462511452,0.477363299936514,0.700322959780112,0.247963919894918,0.62534626232483,0.0771530283708732,1.91566333538261,1.79254613284453,0.842959980717175,0.931589321092954,0.860566597916661,0.534723136398976,0.371390301041556,0.0922535953099727,0.506849726976238,0.0664506356281215,0.42175638908656,0.309468213662321,0.0658153939304967,0.266223907343902,0.349075897456982,0.388410341749874,0.290857757409431,0.507456284463766,0.815714467853401,0.0566036056015472,0.185005778097167,0.965302597855033,0.0358864286697234,0.58051389887206,0.928862665161269,0.0546622002630363,1.06015617427987,0.873565062852492,0.83739352908136,0.0275475441080624,0.879907450251236,0.770560662121937,0.797007971073582,1.02748230797522,0.0710275182745439,0.0583074692934371,0.624237598701318,1.43830108899127,0.0732301475890762,1.7152885484136,0.76617320414487,0.910294541991127,0.993326069959659,0.494968731021689,0.383257247004677,0.0681121581080842,0.985190813945914,0.917143629239476,0.716273088384706,0.345899802508317,1.52551804594226,0.44254099426004,0.0523231813069498,0.243568203508704,0.0604095117644837,0.246864398386922,0.277911459646844,0.0616285807443194,0.440666403760915,0.047098422299668,0.565173572328528,0.253799916905952,0.452076878553371,0.253468196051918,0.515567310557534,0.0435004366036712,0.0674455908721032,0.636969871564284,0.605222715856554,0.028845728463632
